Datum,Prokliky,Zobrazení,CTR,Pozice
2026-05-21,168,550,30.55%,10
2026-05-22,165,557,29.62%,9.1
2026-05-23,150,514,29.18%,9.6
2026-05-24,239,625,38.24%,8.3
2026-05-25,195,616,31.66%,8.3
2026-05-26,183,784,23.34%,10.9
2026-05-27,157,569,27.59%,8.2
2026-05-28,191,590,32.37%,7.8
2026-05-29,168,507,33.14%,8
2026-05-30,178,605,29.42%,7.2
2026-05-31,210,621,33.82%,6.9
2026-06-01,209,611,34.21%,8.2
2026-06-02,190,622,30.55%,10.3
2026-06-03,163,498,32.73%,6.9
2026-06-04,163,510,31.96%,6.9
2026-06-05,151,507,29.78%,6.8
2026-06-06,137,449,30.51%,8.3
2026-06-07,178,520,34.23%,7.9
2026-06-08,183,564,32.45%,6.6
2026-06-09,202,764,26.44%,12.3
2026-06-10,212,533,39.77%,6.5
2026-06-11,235,570,41.23%,5.9
2026-06-12,284,610,46.56%,5.5
2026-06-13,239,634,37.7%,6
2026-06-14,311,793,39.22%,6.4
2026-06-15,315,1251,25.18%,7.5
2026-06-16,229,865,26.47%,12.3
2026-06-17,227,688,32.99%,7.8
2026-06-18,176,622,28.3%,9
2026-06-19,176,596,29.53%,7.8
2026-06-20,173,660,26.21%,9
2026-06-21,234,701,33.38%,8.1
2026-06-22,217,696,31.18%,8.3
2026-06-23,217,1138,19.07%,9.8
2026-06-24,202,727,27.79%,7.4
2026-06-25,179,622,28.78%,8.7
2026-06-26,183,622,29.42%,8.7
2026-06-27,164,551,29.76%,8.1
2026-06-28,222,692,32.08%,8.1
2026-06-29,206,688,29.94%,8.6
2026-06-30,206,741,27.8%,11.1
2026-07-01,178,600,29.67%,9.1
2026-07-02,183,539,33.95%,7.7
2026-07-03,172,547,31.44%,9.2
2026-07-04,156,638,24.45%,8.2
2026-07-05,229,789,29.02%,7.4
2026-07-06,238,840,28.33%,7.8
2026-07-07,209,800,26.12%,9
2026-07-08,149,637,23.39%,8.3
2026-07-09,194,662,29.31%,7.9
2026-07-10,195,921,21.17%,8.5
2026-07-11,214,1119,19.12%,9.2
2026-07-12,238,848,28.07%,8.7
2026-07-13,252,776,32.47%,7.4
2026-07-14,196,768,25.52%,7.9
2026-07-15,205,699,29.33%,8.3
2026-07-16,169,570,29.65%,7.7
2026-07-17,184,651,28.26%,7.8
2026-07-18,172,574,29.97%,7.3
2026-07-19,213,619,34.41%,7.6
2026-07-20,220,633,34.76%,7.4
2026-07-21,183,616,29.71%,8.1
2026-07-22,170,594,28.62%,7.4
2026-07-23,171,711,24.05%,7.9
2026-07-24,186,721,25.8%,7.8
2026-07-25,190,767,24.77%,8.1
2026-07-26,241,778,30.98%,7.4
2026-07-27,224,800,28%,7.6
2026-07-28,243,1095,22.19%,8.4
2026-07-29,246,1062,23.16%,8.4
2026-07-30,208,1146,18.15%,8.8
2026-07-31,210,1292,16.25%,8.8
2026-08-01,221,1398,15.81%,8.2
2026-08-02,285,1338,21.3%,8.8
2026-08-03,266,1424,18.68%,8.2
2026-08-04,246,1190,20.67%,8.8
2026-08-05,254,1328,19.13%,7.9
2026-08-06,238,1419,16.77%,7.9
2026-08-07,172,1056,16.29%,8.3
2026-08-08,191,1020,18.73%,9
2026-08-09,258,1475,17.49%,8.6
2026-08-10,271,1322,20.5%,8.7
2026-08-11,257,1287,19.97%,8.2
2026-08-12,181,912,19.85%,8.6
2026-08-13,227,1180,19.24%,8.6
2026-08-14,198,887,22.32%,8.6
2026-08-15,223,1246,17.9%,8.6
2026-08-16,286,1528,18.72%,8.2
2026-08-17,302,1598,18.9%,8.8
2026-08-18,226,1166,19.38%,9
2026-08-19,221,1162,19.02%,8.7
2026-08-20,234,1196,19.57%,8.8
