Země,Prokliky,Zobrazení,CTR,Pozice
Česko,14864,44705,33.25%,7.13
Německo,431,2562,16.82%,11.67
USA,302,2337,12.92%,10.39
Spojené království,283,1952,14.5%,9.73
Nizozemsko,265,1829,14.49%,8.66
Švédsko,265,1556,17.03%,9.13
Francie,239,1121,21.32%,10.18
Slovensko,203,800,25.37%,7.78
Izrael,195,1801,10.83%,9.05
Itálie,144,780,18.46%,8.92
Rakousko,141,1008,13.99%,9.62
Švýcarsko,117,835,14.01%,9.53
Finsko,117,538,21.75%,8.31
Norsko,108,847,12.75%,8.74
Dánsko,102,692,14.74%,8.25
Polsko,97,717,13.53%,9.77
Turecko,96,515,18.64%,10.61
Španělsko,86,742,11.59%,8.71
Irsko,75,449,16.7%,8.5
Belgie,70,634,11.04%,8.72
Indie,65,566,11.48%,15.65
Maďarsko,59,511,11.55%,8.64
Řecko,53,260,20.38%,8.1
Chorvatsko,51,480,10.62%,9.17
Kanada,37,321,11.53%,9.15
Bulharsko,31,210,14.76%,8.71
Rumunsko,29,329,8.81%,9.87
Litva,29,231,12.55%,9.77
Kazachstán,28,60,46.67%,6.95
Ukrajina,27,301,8.97%,17.91
Austrálie,27,224,12.05%,9.25
Island,27,220,12.27%,6.77
Portugalsko,22,172,12.79%,8.27
Egypt,22,169,13.02%,12.95
Srbsko,20,231,8.66%,8.54
Japonsko,19,153,12.42%,10.01
Saúdská Arábie,19,94,20.21%,8.33
Estonsko,18,165,10.91%,8.45
Malta,17,111,15.32%,7.43
Mexiko,16,158,10.13%,13.78
Singapur,16,146,10.96%,6.67
Slovinsko,15,139,10.79%,8.98
Gruzie,15,108,13.89%,11.57
Albánie,15,100,15%,8.82
Lucembursko,15,73,20.55%,8.48
Tchaj-wan,14,141,9.93%,8.69
Bosna a Hercegovina,14,93,15.05%,8.89
Černá Hora,14,60,23.33%,8.85
Lotyšsko,10,134,7.46%,9.98
Makedonie,10,89,11.24%,7.67
Rusko,9,202,4.46%,18.86
Pákistán,9,91,9.89%,13.45
Jihoafrická republika,9,58,15.52%,10.45
Brazílie,8,182,4.4%,11.14
Spojené arabské emiráty,8,100,8%,13.15
Moldavsko,8,95,8.42%,8.77
Jižní Korea,8,66,12.12%,14.42
Libanon,8,43,18.6%,12.6
Katar,8,39,20.51%,9.38
Nový Zéland,8,32,25%,8.28
Arménie,7,65,10.77%,8.86
Kuvajt,7,51,13.73%,8.86
Filipíny,6,120,5%,24.51
Ázerbájdžán,6,109,5.5%,7.9
Thajsko,6,102,5.88%,21.14
Malajsie,6,83,7.23%,15
Kypr,6,71,8.45%,10.77
Uzbekistán,6,38,15.79%,15.39
Maroko,5,72,6.94%,14.12
Čína,5,53,9.43%,7.11
Kolumbie,5,49,10.2%,19.47
Alžírsko,5,46,10.87%,14.63
Nepál,5,17,29.41%,6.53
Vietnam,4,195,2.05%,20.79
Hongkong,4,61,6.56%,7.75
Chile,4,61,6.56%,12.79
Tunisko,4,57,7.02%,8.46
Palestina,4,31,12.9%,11.1
Bělorusko,4,28,14.29%,6.29
Mauricius,4,17,23.53%,7.35
Irák,3,61,4.92%,11.2
Indonésie,2,106,1.89%,19.86
Bangladéš,2,47,4.26%,25.91
Írán,2,46,4.35%,7.57
Peru,2,29,6.9%,17.1
Namibie,2,5,40%,6.6
Špicberky a Jan Mayen,2,3,66.67%,2.67
Lichtenštejnsko,2,3,66.67%,9.33
Gibraltar,2,2,100%,7.5
Argentina,1,70,1.43%,17.87
Jordánsko,1,29,3.45%,23.03
Keňa,1,14,7.14%,9.57
Nigérie,1,12,8.33%,7
Ekvádor,1,12,8.33%,9.08
Dominikánská republika,1,12,8.33%,19.58
Libye,1,11,9.09%,9.64
Omán,1,9,11.11%,7.44
Ostrov Man,1,8,12.5%,8.88
Trinidad a Tobago,1,8,12.5%,20.12
Uruguay,1,7,14.29%,6.43
Andorra,1,7,14.29%,8
Kyrgyzstán,1,7,14.29%,8.43
Benin,1,6,16.67%,9.5
Honduras,1,6,16.67%,10.83
Portoriko,1,6,16.67%,10.83
Bahrajn,1,4,25%,5
Jersey,1,4,25%,8.25
Zimbabwe,1,3,33.33%,12
Madagaskar,1,2,50%,4
Réunion,1,2,50%,8
Jemen,1,1,100%,1
Togo,1,1,100%,7
Faerské ostrovy,0,43,0%,6.09
Kostarika,0,37,0%,8.73
Kosovo,0,23,0%,16.91
Neznámý region,0,21,0%,13.95
